链接文本 | 链接URL
------------------------------------------------------------------------------------------------------------------------
2025-03-19人工智能学院2025年硕士研究生复试录取实施细则 | https://sai.sysu.edu.cn/article/548
2025-03-28人工智能学院关于公布2025年硕士研究生招生复试结果的通知 | https://sai.sysu.edu.cn/article/552
2025-04-03人工智能学院关于公布2025年硕士研究生增补拟录取名单（第一批）的通知 | https://sai.sysu.edu.cn/article/560
2025-04-07人工智能学院关于公布2025年硕士研究生增补拟录取名单（第二批）的通知 | https://sai.sysu.edu.cn/article/562
2025-04-27人工智能学院关于公布2025年硕士研究生增补拟录取名单（第三批）的通知 | https://sai.sysu.edu.cn/article/578
2025-05-13中山大学人工智能学院2025年以“申请-考核”制招收博士研究生改报志愿公告（第一批） | https://sai.sysu.edu.cn/article/579
2025-05-26人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知 | https://sai.sysu.edu.cn/article/581
2025-05-30中山大学人工智能学院2025年全国优秀大学生夏令营活动报名通知 | https://sai.sysu.edu.cn/article/585
2025-08-28中山大学人工智能学院2026年接收优秀应届本科毕业生推荐免试攻读研究生预报名通知 | https://sai.sysu.edu.cn/article/608
2025-09-15中山大学人工智能学院关于公布2026年进入预推免考核名单的通知 | https://sai.sysu.edu.cn/article/615
2025-10-27中山大学人工智能学院2026年博士研究生招生简章 | https://sai.sysu.edu.cn/article/637
2025-11-17人工智能学院关于2025年中山大学研究生“逸仙学术之星”推荐参评人选的公示 | https://sai.sysu.edu.cn/article/639
2025-11-27人工智能学院关于公示2026年“申请-考核”制招收博士研究生进入综合考核考生名单（含专项）... | https://sai.sysu.edu.cn/article/648
2026-01-07人工智能学院关于公示2026年“申请-考核”制博士研究生综合考核结果的通知 | https://sai.sysu.edu.cn/article/666
2026-02-02人工智能学院2026年“申请-考核”制招收博士研究生调剂公告（第1批） | https://sai.sysu.edu.cn/article/671
2026-02-04人工智能学院关于公示2026年“申请-考核”制招收博士研究生调剂进入综合考核考生名单的通知 | https://sai.sysu.edu.cn/article/672
2026-02-11人工智能学院关于公示2026年“申请-考核”制博士研究生调剂综合考核结果的通知 | https://sai.sysu.edu.cn/article/676
2026-03-20人工智能学院2026年硕士研究生复试录取实施细则 | https://sai.sysu.edu.cn/article/684
2026-03-27人工智能学院关于公布2026年硕士研究生招生复试结果的通知 | https://sai.sysu.edu.cn/article/692
2026-04-17人工智能学院关于公布2026年硕士研究生增补拟录取名单的通知 | https://sai.sysu.edu.cn/article/698
[无文本描述] | https://sai.sysu.edu.cn/
专业介绍 | https://sai.sysu.edu.cn/cat/135
中大学生校园邮箱 | https://exmail.qq.com/domain/mail2.sysu.edu.cn
中大教工邮箱 | https://mail.sysu.edu.cn/
中山大学 | https://www.sysu.edu.cn/
中山大学人工智能学院 | https://dpcms.sysu.edu.cn/sai-prod/user/login
中山大学人工智能学院 | https://sai.sysu.edu.cn/
中山大学统一门户 | https://portal.sysu.edu.cn/
主题教育 | https://sai.sysu.edu.cn/cat/121
习近平新时代中国特色社会主义思想主题教育 | https://sai.sysu.edu.cn/cat/152
产学研合作 | https://sai.sysu.edu.cn/cat/155
人才培养 | https://sai.sysu.edu.cn/cat/108
人才招聘 | https://sai.sysu.edu.cn/cat/137
信息公开 | https://sai.sysu.edu.cn/cat/134
党务公开 | https://sai.sysu.edu.cn/cat/159
党史学习教育 | https://sai.sysu.edu.cn/cat/120
党建新闻 | https://sai.sysu.edu.cn/cat/118
党纪学习教育 | https://sai.sysu.edu.cn/cat/153
党群工作 | https://sai.sysu.edu.cn/cat/106
公益活动 | https://sai.sysu.edu.cn/cat/156
前沿实验中心 | https://sai.sysu.edu.cn/cat/172
办事指南 | https://sai.sysu.edu.cn/cat/129
图书馆 | https://library.sysu.edu.cn/
大学服务中心 | https://cas.sysu.edu.cn/
学习教育 | https://sai.sysu.edu.cn/cat/171
学子风采 | https://sai.sysu.edu.cn/cat/165
学工新闻 | https://sai.sysu.edu.cn/cat/128
学术科研 | https://sai.sysu.edu.cn/cat/107
学生工作 | https://sai.sysu.edu.cn/cat/109
学院概况 | https://sai.sysu.edu.cn/basic/393
学院简介 | https://sai.sysu.edu.cn/basic/393
工会活动 | https://sai.sysu.edu.cn/cat/119
工作通知 | https://sai.sysu.edu.cn/cat/136
师资力量 | https://sai.sysu.edu.cn/cat/64
当前页1 | https://sai.sysu.edu.cn/cat/132?page=0
教师名录 | https://sai.sysu.edu.cn/teachers
末页末页 | https://sai.sysu.edu.cn/cat/132?page=4
本科生培养 | https://sai.sysu.edu.cn/cat/126
树立和践行正确政绩观学习教育 | https://sai.sysu.edu.cn/cat/167
校外导师 | https://sai.sysu.edu.cn/basic/543
格物致智论坛 | https://sai.sysu.edu.cn/taxonomy/term/15
深入贯彻中央八项规定精神学习教育 | https://sai.sysu.edu.cn/cat/168
现任领导 | https://sai.sysu.edu.cn/basic/394
研究生培养 | https://sai.sysu.edu.cn/cat/127
社会服务 | https://sai.sysu.edu.cn/cat/110
科研平台 | https://sai.sysu.edu.cn/cat/154
科研成果 | https://sai.sysu.edu.cn/cat/124
管理服务 | https://sai.sysu.edu.cn/basic/395
联系我们 | https://sai.sysu.edu.cn/basic/397
通知公告 | https://sai.sysu.edu.cn/cat/132
通知公告 | https://sai.sysu.edu.cn/cat/133
院外研究生导师 | https://sai.sysu.edu.cn/cat/158
页面2 | https://sai.sysu.edu.cn/cat/132?page=1
页面3 | https://sai.sysu.edu.cn/cat/132?page=2
页面4 | https://sai.sysu.edu.cn/cat/132?page=3
页面5 | https://sai.sysu.edu.cn/cat/132?page=4
首页 | https://sai.sysu.edu.cn/
