链接文本 | 链接URL
------------------------------------------------------------------------------------------------------------------------
English | https://cse.sysu.edu.cn/en
[无文本描述] | https://cse.sysu.edu.cn/
专业介绍 | https://cse.sysu.edu.cn/admission/major
专业技术人员 | https://cse.sysu.edu.cn/technician
专任教师 | https://cse.sysu.edu.cn/teacher
专职研究人员 | https://cse.sysu.edu.cn/research-fellow
中大主页 | https://www.sysu.edu.cn/
中山大学计算机学院2024年优秀大学生夏令营活动报名通知中山大学计算机学院位于广州校区东校园(广州大学城)，前... | https://cse.sysu.edu.cn/article/2705
中山大学计算机学院2025年优秀大学生夏令营及直博意向生夏令营活动报名通知中山大学计算机学院位于广州校区东校园... | https://cse.sysu.edu.cn/article/3244
产学研合作 | https://cse.sysu.edu.cn/research/coop
人事信息 | https://cse.sysu.edu.cn/information/inner/hr
人事通知 | https://cse.sysu.edu.cn/hr
人力资源管理处 | https://rsc.sysu.edu.cn
人才培养 | https://cse.sysu.edu.cn/teach
人才培养体系 | https://cse.sysu.edu.cn/teach/system
人才工程 | https://cse.sysu.edu.cn/talent
人才招聘 | https://cse.sysu.edu.cn/recruitment
会议室预约 | https://booking.sysu.edu.cn/
信息中心 | https://cse.sysu.edu.cn/information/public
党委分工 | https://cse.sysu.edu.cn/dang/committee
党建动态 | https://cse.sysu.edu.cn/dang/news
党建工会 | https://cse.sysu.edu.cn/dang/work
党建工作 | https://cse.sysu.edu.cn/dang/work
党建通知 | https://cse.sysu.edu.cn/dang/inform
公开信息 | https://cse.sysu.edu.cn/information/public
内部信息 | https://cse.sysu.edu.cn/information/inner
博士招生 | https://cse.sysu.edu.cn/admission/dr
历史沿革 | https://cse.sysu.edu.cn/about/history
团学建设 | https://cse.sysu.edu.cn/student/tuan
国家级人才培养计划 | https://cse.sysu.edu.cn/teach/TCP
培养方案 | https://cse.sysu.edu.cn/undergraduate/plan
培养方案 | https://cse.sysu.edu.cn/graduate/plan
基金捐赠 | https://cse.sysu.edu.cn/donation/items
夏令营 | https://cse.sysu.edu.cn/admission/summer_camp
外事宣传 | https://cse.sysu.edu.cn/information/inner/foreign-affairs
大学服务中心 | https://usc.sysu.edu.cn
学位工作 | https://cse.sysu.edu.cn/graduate/degree
学子风采 | https://cse.sysu.edu.cn/student/style
学工通知 | https://cse.sysu.edu.cn/student/inform
学工队伍 | https://cse.sysu.edu.cn/about/office#xuegong
学术活动 | https://cse.sysu.edu.cn/research/activity
学校文件 | https://cse.sysu.edu.cn/information/sysu
学生工作 | https://cse.sysu.edu.cn/student/inform
学生工作部 | https://xsc.sysu.edu.cn/
学院概况 | https://cse.sysu.edu.cn/about
学院简介 | https://cse.sysu.edu.cn/about/introduction
学院领导 | https://cse.sysu.edu.cn/about/leadership
实习就业 | https://cse.sysu.edu.cn/student/career
实验室管理 | https://cse.sysu.edu.cn/information/public/lab
工会分工 | https://cse.sysu.edu.cn/dang/gh/responsibility
工会工作 | https://cse.sysu.edu.cn/dang/gh
工会建设 | https://cse.sysu.edu.cn/dang/gh/news
师资队伍 | https://cse.sysu.edu.cn/faculty
常设机构 | https://cse.sysu.edu.cn/about/institution
我院成功举办2019年中山大学“人工智能与科学计算” 优秀大学生夏令营为了落实我校“双一流”建设要求，深入贯彻... | https://cse.sysu.edu.cn/article/468
我院成功举办2022年中山大学优秀大学生夏令营我院2022年度优秀大学生夏令营活动于近日成功举办。本次夏令营于... | https://cse.sysu.edu.cn/article/245
招生信息 | https://cse.sysu.edu.cn/admission/brochure
招生导师 | https://cse.sysu.edu.cn/admission/supervisor
捐赠指南 | https://cse.sysu.edu.cn/donation/guide
捐赠项目 | https://cse.sysu.edu.cn/donation/items
政府采购与招投标 | https://cse.sysu.edu.cn/information/sysu/bidding
教务部 | https://jwb.sysu.edu.cn
教学成果 | https://cse.sysu.edu.cn/undergraduate/achievement
教学通知 | https://cse.sysu.edu.cn/undergraduate/inform
本科生培养 | https://cse.sysu.edu.cn/undergraduate
本科生招生 | https://cse.sysu.edu.cn/admission/brochure
本科生教学 | https://cse.sysu.edu.cn/information/public/undergraduate
校友与基金 | https://cse.sysu.edu.cn/alumni/intro
校友会 | https://cse.sysu.edu.cn/alumni/intro
校友会简介 | https://cse.sysu.edu.cn/alumni/intro
校友动态 | https://cse.sysu.edu.cn/alumni/news
校友服务 | https://cse.sysu.edu.cn/alumni/service
港澳台招生 | https://cse.sysu.edu.cn/admission/hmt
研究生培养 | https://cse.sysu.edu.cn/graduate
研究生招生 | https://cse.sysu.edu.cn/admission/graduate
研究生教学 | https://cse.sysu.edu.cn/information/public/graduate
研究生通知 | https://cse.sysu.edu.cn/graduate/inform
研究生院 | https://graduate.sysu.edu.cn
硕士招生 | https://cse.sysu.edu.cn/admission/master
科学研究 | https://cse.sysu.edu.cn/research
科学研究院 | http://research.sysu.edu.cn/
科研团队 | https://cse.sysu.edu.cn/research/team
科研平台 | https://cse.sysu.edu.cn/research/platform
科研进展 | https://cse.sysu.edu.cn/research/progress
科研通知 | https://cse.sysu.edu.cn/research/inform
简体中文 | https://cse.sysu.edu.cn/
管理制度 | https://cse.sysu.edu.cn/graduate/regulation
管理登录 | https://cse.sysu.edu.cn/webmaster-mgt
组织架构 | https://cse.sysu.edu.cn/about/organization
统一门户 | https://portal.sysu.edu.cn
行政办公 | https://cse.sysu.edu.cn/about/office
设备与实验室 | https://cse.sysu.edu.cn/information/sysu/equipment_lab
设备与网络 | https://cse.sysu.edu.cn/information/public/equipment_network
财务与国资管理处 | http://home3.sysu.edu.cn/finance/
非学历教育 | https://edu.nscc-sub.cn/
首页 | https://cse.sysu.edu.cn/
English | https://cse.sysu.edu.cn/admission/summer_camp
