链接文本 | 链接URL
------------------------------------------------------------------------------------------------------------------------
2024-11-13澳门科技大学-中山大学2025级联合培养博士研究生项目报名通知 | https://sse.sysu.edu.cn/article/787
2025-01-10喜报｜我院博士研究生荣获2024年中山大学研究生“逸仙学术之星”称号 | https://sse.sysu.edu.cn/article/852
2025-04-30中山大学软件工程学院2025年“申请-考核”制博士考生递补拟录取名单公示（第一次） | https://sse.sysu.edu.cn/article/891
2025-04-30中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告 | https://sse.sysu.edu.cn/article/892
2025-05-09中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告（第二批） | https://sse.sysu.edu.cn/article/900
2025-05-09中山大学软件工程学院关于公示2025年“申请-考核”制招收博士研究生改报志愿综合考核结果的... | https://sse.sysu.edu.cn/article/899
2025-05-09中山大学软件工程学院关于公示2025年“申请-考核”制招收博士研究生改报志愿综合考核结果的... | https://sse.sysu.edu.cn/article/902
2025-05-09软件工程学院2025年面向港澳台地区招收研究生招生复试录取实施细则 | https://sse.sysu.edu.cn/article/901
2025-05-15中山大学软件工程学院2025年面向香港、澳门、台湾招收硕士研究生考核结果公示 | https://sse.sysu.edu.cn/article/904
2025-05-22中山大学软件工程学院2025年以“申请-考核”制招收博士研究生考核结果公示（第三批） | https://sse.sysu.edu.cn/article/910
2025-07-25中山大学软件工程学院2026年接收优秀应届本科毕业生推荐免试攻读研究生预报名通知 | https://sse.sysu.edu.cn/article/938
2025-10-27中山大学软件工程学院2026年博士研究生招生简章 | https://sse.sysu.edu.cn/article/977
2025-12-14喜报丨我院获评中山大学2025年学位与研究生教育工作先进单位 | https://sse.sysu.edu.cn/article/1013
2025-12-22喜报丨我院博士研究生郭亮宏入选2025年中国科协青年科技人才培育工程博士生专项计划 | https://sse.sysu.edu.cn/article/1017
2026-01-06软件工程学院2026年“申请-考核”制招收博士研究生综合考核结果公示 | https://sse.sysu.edu.cn/article/1022
2026-03-18软件工程学院2026年硕士研究生复试录取实施细则 | https://sse.sysu.edu.cn/article/1053
2026-03-27软件工程学院2026年硕士研究生调剂公告 | https://sse.sysu.edu.cn/article/1055
2026-03-27软件工程学院关于公布2026年硕士研究生招生复试结果的通知 | https://sse.sysu.edu.cn/article/1054
2026-03-30软件工程学院2026年硕士研究生调剂复试通知 | https://sse.sysu.edu.cn/article/1056
2026-04-03软件工程学院2026年硕士研究生调剂复试结果 | https://sse.sysu.edu.cn/article/1059
BlueHub | https://sse.sysu.edu.cn/basic/1045
BlueHub简介 | https://sse.sysu.edu.cn/basic/1045
[无文本描述] | https://sse.sysu.edu.cn/
中山大学 | http://www.sysu.edu.cn
中山大学人力资源管理处 | http://rsc.sysu.edu.cn/
中山大学图书馆 | http://library.sysu.edu.cn/
中山大学学生处 | http://xsc.sysu.edu.cn/
中山大学教务部 | http://jwb.sysu.edu.cn/
中山大学研究生院 | http://graduate.sysu.edu.cn/
中山大学软件工程学院 | https://sse.sysu.edu.cn/
产研动态 | https://sse.sysu.edu.cn/cat/171
人才培养 | https://sse.sysu.edu.cn/development
人才引进 | https://sse.sysu.edu.cn/hr/hr00
人才招聘 | https://sse.sysu.edu.cn/hr
党史学习 | https://sse.sysu.edu.cn/party/party_study
党建工作 | https://sse.sysu.edu.cn/party/party00
党群工作 | https://sse.sysu.edu.cn/party
创新创业活动 | https://sse.sysu.edu.cn/cat/170
副教授 | https://sse.sysu.edu.cn/teacher/associate_professor
办事指南 | https://sse.sysu.edu.cn/student/student03
助理教授 | https://sse.sysu.edu.cn/teacher/assistant_professor
外聘教授 | https://sse.sysu.edu.cn/teacher/visiting-professor
学工通知 | https://sse.sysu.edu.cn/student/student02
学术科研 | https://sse.sysu.edu.cn/research
学术讲座 | https://sse.sysu.edu.cn/research/academic_talk
学生工作 | https://sse.sysu.edu.cn/student
学生活动 | https://sse.sysu.edu.cn/student/student04
学院概况 | https://sse.sysu.edu.cn/basic/102
学院简介 | https://sse.sysu.edu.cn/basic/102
师资队伍 | https://sse.sysu.edu.cn/teacher
教授 | https://sse.sysu.edu.cn/teacher/professor
新闻动态 | https://sse.sysu.edu.cn/news
本科生教育 | https://sse.sysu.edu.cn/development/development02
校外导师 | https://sse.sysu.edu.cn/teacher/off-campus_tutor
现任领导 | https://sse.sysu.edu.cn/basic/103
登录 | http://dpcms4.sysu.edu.cn/sse-prod/user/login?destination=/sse-prod/manage/teacher
研究员/副研究员 | https://sse.sysu.edu.cn/teacher/researcher
研究生教育 | https://sse.sysu.edu.cn/development/development03
科研动态 | https://sse.sysu.edu.cn/research/trends
科研平台 | https://sse.sysu.edu.cn/research/platform
管理服务 | https://sse.sysu.edu.cn/basic/104
荣休教师 | https://sse.sysu.edu.cn/cat/173
讲师/教员 | https://sse.sysu.edu.cn/teacher/lecturer
首页 | https://sse.sysu.edu.cn/
