链接文本 | 链接URL
------------------------------------------------------------------------------------------------------------------------
2023-06-17招生宣传丨我在中山大学软件工程学院等你 | https://sse.sysu.edu.cn/article/549
2023-07-09招生宣传回顾丨校园开放日，我们在软件工程学院等你！ | https://sse.sysu.edu.cn/article/572
2023-07-28软件工程学院新开课来啦，《AI革命：解码大模型》喊你来选课～ | https://sse.sysu.edu.cn/article/580
2023-08-05喜报丨软件工程学院喜获中山大学第十一届本科教育教学成果奖二等奖 | https://sse.sysu.edu.cn/article/587
2023-09-05软件工程学院关于2024届本科毕业生免试攻读研究生学位推荐资格加分情况公示 | https://sse.sysu.edu.cn/article/597
2023-09-05软件工程学院关于公示2024届本科毕业生申请免试攻读研究生推荐资格综合成绩排名的通知 | https://sse.sysu.edu.cn/article/598
2023-09-18软件工程学院关于公示2024届本科毕业生免试攻读研究生推荐资格的通知 | https://sse.sysu.edu.cn/article/611
2023-10-10卓越教学 | 软件工程学院开展2023-2024学年第一学期教师试讲工作 | https://sse.sysu.edu.cn/article/631
2024-03-24卓越教学 | 软件工程学院开展2023-2024学年第二学期教师试讲工作坊 | https://sse.sysu.edu.cn/article/702
2024-05-26锁定10558！中山大学2024本科招生章程来了 | https://sse.sysu.edu.cn/article/732
2024-09-13软件工程学院关于2025届本科毕业生免试攻读研究生推荐资格公示的通知 | https://sse.sysu.edu.cn/article/770
2024-09-19软件工程学院关于2025届本科毕业生免试攻读研究生学位推荐资格学生名单（增补）公示 | https://sse.sysu.edu.cn/article/772
2024-09-26卓越教学 | 软件工程学院开展2024-2025学年第一学期教师试讲工作 | https://sse.sysu.edu.cn/article/802
2025-02-15喜报丨我院22支学生队伍与3名指导老师在广东省数模竞赛中荣获佳绩！ | https://sse.sysu.edu.cn/article/858
2025-03-11软件工程学院关于印发《软件工程学院接收本科生转院系专业实施细则》的通知 | https://sse.sysu.edu.cn/article/869
2025-09-10软件工程学院关于2026届本科毕业生免试攻读研究生推荐资格公示的通知 | https://sse.sysu.edu.cn/article/950
2025-11-20中山大学首届BlueHub科创班迎来开课！ | https://sse.sysu.edu.cn/article/998
2025-11-26喜报丨我院31支学生队伍和3名指导老师在广东省数模竞赛中荣获佳绩！ | https://sse.sysu.edu.cn/article/1001
2025-11-29喜报丨我院本科生莫勋悦的一作论文被人工智能领域国际顶级会议AAAI 2026接收 | https://sse.sysu.edu.cn/article/1002
2025-12-04喜报丨我院学子所在队伍荣获第九届“强网杯”全国网络安全挑战赛二等奖 | https://sse.sysu.edu.cn/article/1007
BlueHub | https://sse.sysu.edu.cn/basic/1045
BlueHub简介 | https://sse.sysu.edu.cn/basic/1045
[无文本描述] | https://sse.sysu.edu.cn/
中山大学 | http://www.sysu.edu.cn
中山大学人力资源管理处 | http://rsc.sysu.edu.cn/
中山大学图书馆 | http://library.sysu.edu.cn/
中山大学学生处 | http://xsc.sysu.edu.cn/
中山大学教务部 | http://jwb.sysu.edu.cn/
中山大学研究生院 | http://graduate.sysu.edu.cn/
中山大学软件工程学院 | https://sse.sysu.edu.cn/
产研动态 | https://sse.sysu.edu.cn/cat/171
人才培养 | https://sse.sysu.edu.cn/development
人才引进 | https://sse.sysu.edu.cn/hr/hr00
人才招聘 | https://sse.sysu.edu.cn/hr
党史学习 | https://sse.sysu.edu.cn/party/party_study
党建工作 | https://sse.sysu.edu.cn/party/party00
党群工作 | https://sse.sysu.edu.cn/party
创新创业活动 | https://sse.sysu.edu.cn/cat/170
副教授 | https://sse.sysu.edu.cn/teacher/associate_professor
办事指南 | https://sse.sysu.edu.cn/student/student03
助理教授 | https://sse.sysu.edu.cn/teacher/assistant_professor
外聘教授 | https://sse.sysu.edu.cn/teacher/visiting-professor
学工通知 | https://sse.sysu.edu.cn/student/student02
学术科研 | https://sse.sysu.edu.cn/research
学术讲座 | https://sse.sysu.edu.cn/research/academic_talk
学生工作 | https://sse.sysu.edu.cn/student
学生活动 | https://sse.sysu.edu.cn/student/student04
学院概况 | https://sse.sysu.edu.cn/basic/102
学院简介 | https://sse.sysu.edu.cn/basic/102
师资队伍 | https://sse.sysu.edu.cn/teacher
当前页1 | https://sse.sysu.edu.cn/development/development02?page=0
教授 | https://sse.sysu.edu.cn/teacher/professor
新闻动态 | https://sse.sysu.edu.cn/news
末页末页 | https://sse.sysu.edu.cn/development/development02?page=1
本科生教育 | https://sse.sysu.edu.cn/development/development02
校外导师 | https://sse.sysu.edu.cn/teacher/off-campus_tutor
现任领导 | https://sse.sysu.edu.cn/basic/103
登录 | http://dpcms4.sysu.edu.cn/sse-prod/user/login?destination=/sse-prod/manage/teacher
研究员/副研究员 | https://sse.sysu.edu.cn/teacher/researcher
研究生教育 | https://sse.sysu.edu.cn/development/development03
科研动态 | https://sse.sysu.edu.cn/research/trends
科研平台 | https://sse.sysu.edu.cn/research/platform
管理服务 | https://sse.sysu.edu.cn/basic/104
荣休教师 | https://sse.sysu.edu.cn/cat/173
讲师/教员 | https://sse.sysu.edu.cn/teacher/lecturer
页面2 | https://sse.sysu.edu.cn/development/development02?page=1
首页 | https://sse.sysu.edu.cn/
